id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.91619E+15,N6N5eE5v9,1876265021,BRTV新闻,#汶川地震敬礼娃娃高考637分欲报北大#【“敬礼娃娃”考了637分准备报考北大！汶川地震时才3岁现已成大小伙子】曾在汶川大地震中被埋20余小时获救，担架上敬礼感动全国的“敬礼娃娃”朗铮，被救时3岁的小娃娃今年已是身高185的18岁大小伙子，朗铮今年高考成绩为637分，比他预估的多10分，已收到北大、人大邀请，他表示自己准备报考北京大学，以后从事公务员之类的工作，为人民服务。L京视频的微博视频,,,,汶川地震敬礼娃娃高考637分欲报北大,0,0,0,2023/6/24 16:01,微博视频号,,"http://f.video.weibocdn.com/o0/w8SC1nAYlx086u01zASs010412004GwO0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687698480&ssig=FijKs2WacJ&KID=unistore,video",
4.91619E+15,N6N5e8c49,5742359976,落多思格哒答,刚刚是地震了么？整个人都恍惚了,,,,,0,0,0,2023/6/24 16:00,iPhone客户端,,,
4.91619E+15,N6N5c47gZ,7632560454,_爱意藏在多少页,#广东地震#啊？,,,,广东地震,0,1,3,2023/6/24 16:00,HUAWEI Mate 20 Pro,,,
4.91619E+15,N6N58sXdT,2724411310,我是xi不是c,#北京地震#刚才是不是地震了，晃的好厉害,,,,北京地震,0,5,2,2023/6/24 16:00,iPhone客户端,,,
4.91619E+15,N6N56Fpjj,5515286936,吧吧啦啦387,刚刚地震了沙发晃了好几下,,三河市,,,0,0,1,2023/6/24 16:00,iPhone客户端,,,
4.91619E+15,N6N53cagm,3579140953,南宁微博头条,【“地震了！”#北部湾地震广西市民半夜被震醒#，你那里有震感吗？】06月24日03时07分北部湾发生5.0级地震，震源深度20千米。震中距海岸线最近约64公里。距广西北海市85公里，有北海市民半夜被摇醒，监控记录下地震时的一幕…你住在几楼？你那里有震感吗？#广西地震##跟着微博去广西#（新闻夜班）L新浪广西的微博视频,,,,"北部湾地震广西市民半夜被震醒,广西地震,跟着微博去广西",1,2,4,2023/6/24 16:00,iPhone客户端,,"http://f.video.weibocdn.com/u0/7STMGGB9gx086tSlcVMI01041200529F0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687698480&ssig=UKWPJJn5Py&KID=unistore,video",
4.91617E+15,N6MJLfuas,3423681152,白山市消防,当地震来临后，你知道需要怎么做吗？？戳图看#人人讲安全个个会应急#,,,,人人讲安全个个会应急,0,0,1,2023/6/24 15:08,消防新媒体融合平台,['https://wx1.sinaimg.cn/large/cc113a80ly8hf9bsw1spoj20j62pigtv.jpg'],,
4.91617E+15,N6MJlfhf2,7143321141,xue517ee,#广东地震#不看不知道,,,,广东地震,0,0,2,2023/6/24 15:07,Hi nova 9 Pro,,,
4.91617E+15,N6MJkCy1o,3660083975,池州风土人情,#汶川敬礼娃娃郎铮想报北大#【#汶川敬礼娃娃郎铮想报北大#“没想到考得这么好”】#敬礼娃娃郎铮人生规划为人民服务#这个曾在汶川大地震中感动全国的“敬礼娃娃”，今年已18岁，他参加了今年的高考。对于未来的人生规划，郎铮@东辰小狼告诉记者，“我准备报考北京大学，以后从事公务员之类的工作，为人民服务，不辜负那么多关心我、帮助我的人。”当电脑上显示出成绩的那一刻，全家人都很激动，郎铮总分637。其中，语文129，数学126，英语143，文科综合239。“跟我自己预估的分数差不多。志愿准备填报北京大学，因为我喜欢历史、国际政治，专业方向也准备填这个。”郎铮说。#敬礼娃娃郎铮已收到北大和人大的邀请#L红星视频的微博视频,,,东辰小狼,"汶川敬礼娃娃郎铮想报北大,敬礼娃娃郎铮人生规划为人民服务,敬礼娃娃郎铮已收到北大和人大的邀请",0,0,0,2023/6/24 15:07,微博视频号,,"http://f.video.weibocdn.com/o0/mHbqHGp8lx086tblyuog010412004Eow0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687698493&ssig=58UmlGLczh&KID=unistore,video",
4.91617E+15,N6MJixmRy,6603730028,吹云并沧浪,鬼子学院这玩意儿入土三年后还能引发五代女团地震真的很神奇…跨越次元跨越阴阳的神奇…,,,,,0,0,2,2023/6/24 15:06,,,,
4.91617E+15,N6MIR1r7H,3632512310,微糖少冰加珍珠椰果,昨晚半夜地震的时候我还没睡着正在思考是不是地震要不要逃的时候它已经停了,,,,,0,0,1,2023/6/24 15:05,微博轻享版,,,
